FolioNo,Date,SchemeName,Type,NAV,Amount
10234567,10/11/2021,SBI Contra Fund - Direct Plan - Growth,Purchase,219.0740,25000
10234567,22/06/2023,SBI Contra Fund - Direct Plan - Growth,Purchase,269.4995,15000
10234567,04/02/2025,SBI Contra Fund - Direct Plan - Growth,Purchase,397.8140,10000
20456789,12/11/2021,SBI Midcap Fund - Direct Plan - Growth,Purchase,157.0097,30000
20456789,26/06/2023,SBI Midcap Fund - Direct Plan - Growth,Purchase,183.8717,20000
30678901,12/11/2021,SBI Nifty Index Fund - Direct Plan - Growth,Purchase,161.8821,50000
30678901,05/02/2025,SBI Nifty Index Fund - Direct Plan - Growth,Purchase,218.1869,12000
40890123,26/06/2023,SBI Nifty Next 50 Index Fund - Direct Plan - Growth,Purchase,11.7602,18000
40890123,31/07/2026,SBI Nifty Next 50 Index Fund - Direct Plan - Growth,Purchase,20.4428,8000
50112233,01/01/2020,SBI Bluechip Fund - Direct Plan - Growth,Purchase,40.5000,15000
60334455,15/03/2024,SBI Contra Fund - Regular Plan - IDCW,Purchase,55.4000,10000
